customer_id,first_name,last_name,email,phone,address,join_date
1,Emma,Brown,user1@example.com,8194701054,Random Address,2023-09-13
2,Alice,Smith,user2@example.com,7815763808,Random Address,2022-12-27
3,John,Smith,user3@example.com,8562477730,Random Address,2022-12-26
4,John,Brown,user4@example.com,8564487762,Random Address,2022-12-23
5,Sophia,Johnson,user5@example.com,7210630695,Random Address,2021-01-15
6,Sophia,Jones,user6@example.com,8341306696,Random Address,2022-05-25
7,Liam,Jones,user7@example.com,7946709379,Random Address,2022-01-21
8,Sophia,Johnson,user8@example.com,7565872835,Random Address,2022-03-17
9,John,Jones,user9@example.com,6966706887,Random Address,2023-01-05
10,Alice,Smith,user10@example.com,7293751950,Random Address,2021-07-10
11,Sophia,Jones,user11@example.com,7674416346,Random Address,2021-02-19
12,Bob,Smith,user12@example.com,9374714578,Random Address,2021-05-12
13,John,Williams,user13@example.com,7116468758,Random Address,2020-03-09
14,Sophia,Brown,user14@example.com,9126966262,Random Address,2020-07-16
15,Liam,Smith,user15@example.com,7437554112,Random Address,2021-09-28
16,John,Brown,user16@example.com,8430007409,Random Address,2023-04-27
17,John,Johnson,user17@example.com,6080692506,Random Address,2023-05-24
18,Emma,Brown,user18@example.com,8259763674,Random Address,2020-03-16
19,Emma,Brown,user19@example.com,7981475895,Random Address,2021-10-20
20,Sophia,Brown,user20@example.com,9713450051,Random Address,2022-09-11
21,Sophia,Smith,user21@example.com,7936349526,Random Address,2021-07-05
22,Bob,Johnson,user22@example.com,8585253214,Random Address,2022-02-19
23,Alice,Williams,user23@example.com,6424388749,Random Address,2020-06-13
24,Sophia,Williams,user24@example.com,9275673720,Random Address,2020-01-29
25,Bob,Johnson,user25@example.com,8139967415,Random Address,2023-12-13
26,Alice,Smith,user26@example.com,8733329483,Random Address,2022-04-09
27,John,Smith,user27@example.com,8985587015,Random Address,2022-10-27
28,John,Brown,user28@example.com,7246590366,Random Address,2023-10-04
29,Alice,Johnson,user29@example.com,8822141207,Random Address,2021-01-03
30,Emma,Jones,user30@example.com,7057854792,Random Address,2022-12-10
31,Alice,Jones,user31@example.com,7106340253,Random Address,2023-01-06
32,John,Johnson,user32@example.com,6217569942,Random Address,2022-10-16
33,Sophia,Smith,user33@example.com,9389454438,Random Address,2022-08-22
34,Liam,Smith,user34@example.com,7289684339,Random Address,2023-10-13
35,John,Johnson,user35@example.com,7952885539,Random Address,2023-01-29
36,John,Williams,user36@example.com,7491730299,Random Address,2021-09-05
37,John,Brown,user37@example.com,8291534239,Random Address,2023-11-11
38,Emma,Johnson,user38@example.com,7022969742,Random Address,2020-11-14
39,John,Williams,user39@example.com,6010264808,Random Address,2023-06-22
40,Emma,Johnson,user40@example.com,7229378086,Random Address,2023-02-25
41,John,Smith,user41@example.com,6531390528,Random Address,2022-09-25
42,John,Johnson,user42@example.com,8019917763,Random Address,2020-01-03
43,Sophia,Smith,user43@example.com,9845237858,Random Address,2021-10-18
44,Sophia,Williams,user44@example.com,6229666711,Random Address,2023-09-18
45,John,Jones,user45@example.com,9943500865,Random Address,2020-04-26
46,Liam,Smith,user46@example.com,9304447898,Random Address,2020-09-17
47,John,Brown,user47@example.com,7699336749,Random Address,2022-09-19
48,Bob,Brown,user48@example.com,8178902025,Random Address,2021-05-28
49,John,Smith,user49@example.com,8964514027,Random Address,2023-02-01
50,Sophia,Jones,user50@example.com,6700119776,Random Address,2022-09-10
